movie,year,imdb,metascore,votes
Once Upon a Time in Mexico,(2003),6.4,56,153294
Final Destination 2,(2003),6.2,38,151758
Johnny English,(2003),6.2,51,147901
Cold Mountain,(2003),7.2,73,139481
Good Bye Lenin!,(2003),7.7,68,137493
Dogville,(2003),8.0,60,137314
S.W.A.T.,(2003),6.0,45,137313
Scary Movie 3,(2003),5.5,49,137073
Salinui chueok,(2003),8.1,82,137012
Monster,(2003),7.3,74,135714
Bad Santa,(2003),7.0,70,135159
The Texas Chainsaw Massacre,(2003),6.2,38,129821
Lara Croft Tomb Raider: The Cradle of Life,(2003),5.6,43,129681
The Recruit,(2003),6.6,56,128996
Freaky Friday,(2003),6.2,70,124684
Matchstick Men,(2003),7.3,61,123339
Charlie's Angels: Full Throttle,(2003),4.9,48,120663
The Lord of the Rings: The Return of the King,(2003),8.9,94,1633674
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,63,1011822
Kill Bill: Vol. 1,(2003),8.1,69,995151
Finding Nemo,(2003),8.1,90,944643
The Matrix Reloaded,(2003),7.2,62,513452
Oldeuboi,(2003),8.4,77,512068
X2,(2003),7.4,68,510011
The Matrix Revolutions,(2003),6.8,47,445998
Love Actually,(2003),7.6,55,432754
Mystic River,(2003),7.9,84,417446
Big Fish,(2003),8.0,58,413843
Lost in Translation,(2003),7.7,89,412493
The Last Samurai,(2003),7.7,55,398411
Terminator 3: Rise of the Machines,(2003),6.3,66,376213
Bruce Almighty,(2003),6.8,46,370256
The Italian Job,(2003),7.0,68,341344
The School of Rock,(2003),7.1,82,267315
Underworld,(2003),7.0,42,252179
Hulk,(2003),5.6,54,251006
2 Fast 2 Furious,(2003),5.9,38,250071
Bad Boys II,(2003),6.6,38,230771
Elf,(2003),7.0,64,229317
Identity,(2003),7.3,64,226247
21 Grams,(2003),7.6,70,223755
Old School,(2003),7.1,54,214749
How to Lose a Guy in 10 Days,(2003),6.4,45,210081
Daredevil,(2003),5.3,42,206071
Anger Management,(2003),6.3,52,202512
